"","unit","COMID","length.km","width.km","area.kmsq","area.acre","unit.area.acre","proportion.area"
"161","19",12952954,3.683,0.00345727217914446,0.012733133435789,3.14642579492297,119.793860214872,0.0262653343775657
"162","19",12952690,2.223,0.00397270510314947,0.00883132344430127,2.18226754856399,119.793860214872,0.0182168563952251
"163","19",12953612,0.287,0.00217791136155731,0.000625060560766948,0.154455828308397,119.793860214872,0.00128934678314358
"164","19",12952714,1.572,0.00122394799516913,0.00192404624840587,0.475442182172802,119.793860214872,0.00396883597640155
"165","19",12953304,2.842,0.0439565142857143,0.1249244136,30.86949487719,119.793860214872,0.257688456001167
"166","19",12952748,1.181,0.042291,0.049945671,12.3418440850885,119.793860214872,0.10302568147442
"167","19",12952656,0.624,0.00263924037211813,0.00164688599220171,0.406954391335935,119.793860214872,0.00339712227827027
"168","19",12952910,0.707,0.00213662715874045,0.0015105954012295,0.373276252863361,119.793860214872,0.0031159881833161
"169","19",12952942,0.961,0.00259253483337205,0.00249142597487054,0.615644765917589,119.793860214872,0.0051392013314649
"170","19",12952860,2.162,0.00341506163527488,0.00738336325546429,1.82446879375216,119.793860214872,0.0152300693080567
"171","19",12952956,1.226,0.0020940559781615,0.002567312629226,0.634396766590362,119.793860214872,0.00529573690548461
"172","19",12952688,1.262,0.00228167783836414,0.00287947743201554,0.711534369264295,119.793860214872,0.00593965640633026
"173","19",12952654,1.668,0.00274735991156197,0.00458259633248537,1.13238421484883,119.793860214872,0.00945277339604629
"174","19",12953608,0.459,0.00498287293900017,0.00228713867900108,0.56516427574287,119.793860214872,0.00471780669501046
"175","19",12952884,0.638,0.00225925977484154,0.0014414077363489,0.356179608540219,119.793860214872,0.00297327098318183
"176","19",12952924,1.978,0.00496973317047524,0.00983013221120002,2.42907856992125,119.793860214872,0.0202771541510079
"177","19",12952716,1.439,0.00463720449284706,0.00667293726520692,1.64891870842542,119.793860214872,0.0137646345603004
"178","19",12952934,0.704,0.00437961989576486,0.00308325240661846,0.761888262097011,119.793860214872,0.0063599942495419
"179","19",12952742,0.684,0.0438912,0.0300215808,7.41849417583133,119.793860214872,0.0619271652363896
"180","19",12952912,3.249,0.00252560673721088,0.00820569628919815,2.02767171174601,119.793860214872,0.0169263408667942
"181","19",12952764,1.973,0.00505226799844076,0.00996812476092362,2.46317727156033,119.793860214872,0.0205617989698485
"182","19",12952712,2.462,0.00186038884379037,0.00458027733341189,1.13181117769816,119.793860214872,0.00944798986916399
"183","2",12953302,16.352,0.0141885327383367,0.232010887337282,57.3311388200145,62.6721653708807,0.914778330710945
"184","2",12952868,1.433,0.0110135600887263,0.0157824316071448,3.89992378276296,62.6721653708807,0.0622273661630172
"185","2",12953328,2.292,0.00254447469129012,0.00583193599243695,1.44110276810323,62.6721653708807,0.0229943031260382
"186","20",12950946,1.515,0.00180395300218247,0.00273298879830644,0.675336239551003,496.8241312955,0.00135930643664595
"187","20",12951054,2.89,0.0024518120477544,0.00708573681801022,1.75092369939035,496.8241312955,0.00352423239753816
"188","20",12950954,1.571,0.0020761270498591,0.00326159559532865,0.805957823775311,496.8241312955,0.00162221956021686
"189","20",12951624,2.008,0.0018071610239111,0.00362877933601349,0.89669090208578,496.8241312955,0.00180484571018643
"190","20",12951232,1.72,0.00148944260102707,0.00256184127376656,0.633044765212415,496.8241312955,0.00127418280501334
"191","20",12951630,2.365,0.0325109234742805,0.0768883340166734,18.9995211075649,496.8241312955,0.038241945007829
"192","20",12951636,0.061,0.0327843406839464,0.00199984478172073,0.494172407662221,496.8241312955,0.000994662651296015
"193","20",12951640,0.21,0.00189061721829727,0.000397029615842427,0.098108154676505,496.8241312955,0.00019747059069108
"194","20",12950980,3.391,0.00281108538358016,0.00953239053572032,2.35550499962317,496.8241312955,0.00474112437630806
"195","20",12952746,1.635,0.00414964510987161,0.00678466975464008,1.67652840784908,496.8241312955,0.0033744906944786
"196","20",12951158,3.009,0.00158041527728916,0.00475546956936308,1.17510212199296,496.8241312955,0.00236522754828516
"197","20",12952752,0.59,0.00312363628301914,0.00184294540698129,0.455401727815273,496.8241312955,0.000916625620876716
"198","20",12950994,3.657,0.00250651569305474,0.00916632788950118,2.26504894978831,496.8241312955,0.00455905582501005
"199","20",12951080,4.969,0.00326046706151387,0.0162012608286624,4.00341873731567,496.8241312955,0.0080580199010795
"200","20",12951082,0.477,0.00540663024546713,0.00257896262708782,0.637275543756099,496.8241312955,0.00128269845124947
